ZIP,sdi_score,quintile,lng,lat
10001,74,4,-73.99728,40.75064
10002,97,5,-73.98692,40.71597
10003,47,3,-73.98915,40.73184
10004,41,3,-74.01835,40.69431
10005,42,3,-74.00862,40.70614
10006,50,3,-74.01306,40.70949
10007,30,2,-74.00792,40.71387
10009,84,5,-73.97865,40.72639
10010,50,3,-73.98243,40.73899
10011,46,3,-74.00037,40.74173
10012,47,3,-73.99794,40.7256
10013,67,4,-74.00472,40.72001
10014,32,2,-74.00601,40.73407
10016,40,3,-73.97807,40.74515
10017,38,2,-73.9726,40.75235
10018,62,4,-73.99265,40.75536
10019,55,3,-73.9853,40.765860000000004
10020,NA,NA,-73.98071,40.75917
10021,33,2,-73.95899,40.76963
10022,26,2,-73.96787,40.75856
10023,36,2,-73.97836,40.77464
10024,38,2,-73.97138,40.78534
10025,69,4,-73.96831,40.79825
10026,95,5,-73.95348,40.80302
10027,93,5,-73.95459,40.81187
10028,28,2,-73.95339,40.77643
10029,98,5,-73.94788,40.79265
10030,99,5,-73.94283,40.81826
10031,97,5,-73.95023,40.82485
10032,99,5,-73.94282,40.839
10033,98,5,-73.93549,40.84744
10034,98,5,-73.92358,40.86749
10035,100,5,-73.92965,40.79538
10036,60,4,-73.99064,40.75976
10037,95,5,-73.93776,40.81302
10038,80,5,-74.00298,40.70914
10039,98,5,-73.93752,40.82631
10040,95,5,-73.9296,40.85807
10044,59,3,-73.94981,40.76209
10065,28,2,-73.96332,40.76472
10069,37,2,-73.98875,40.77752
10075,33,2,-73.95642,40.77342
10103,NA,NA,-73.97767,40.76078
10110,NA,NA,-73.98226,40.7545
10111,NA,NA,-73.97858,40.75953
10112,NA,NA,-73.97904,40.75891
10115,NA,NA,-73.96374,40.81085
10119,NA,NA,-73.99273,40.75064
10128,38,2,-73.95018,40.78151
10152,NA,NA,-73.9718,40.75872
10153,NA,NA,-73.97244,40.76362
10154,NA,NA,-73.97249,40.75778
10162,41,3,-73.94986,40.76936
10165,NA,NA,-73.97872,40.75213
10167,NA,NA,-73.97477,40.75465
10168,NA,NA,-73.9771,40.75145
10169,NA,NA,-73.97643,40.75467
10170,NA,NA,-73.97588,40.75263
10171,NA,NA,-73.97386,40.7559
10172,NA,NA,-73.97431,40.75527
10173,NA,NA,-73.97961,40.75379
10174,NA,NA,-73.975,40.75144
10177,NA,NA,-73.97589,40.75498
10199,NA,NA,-73.99715,40.75138
10271,NA,NA,-74.01033,40.70844
10278,NA,NA,-74.00373,40.71513
10279,NA,NA,-74.00867,40.71263
10280,33,2,-74.01651,40.70985
10282,31,2,-74.01495,40.71655
10301,86,5,-74.09564,40.62803
10302,82,5,-74.13776,40.63055
10303,88,5,-74.16903,40.63223
10304,82,5,-74.0931,40.60671
10305,57,3,-74.07539,40.59592
10306,37,2,-74.1243,40.57149
10307,22,2,-74.24254,40.50817
10308,20,2,-74.15029,40.55213
10309,28,2,-74.21912,40.53001
10310,77,4,-74.11653,40.63243
10311,NA,NA,-74.17956,40.60523
10312,16,1,-74.18084,40.54489
10314,37,2,-74.16306,40.60086
10451,100,5,-73.92383,40.82097
10452,100,5,-73.923330000000007,40.8378
10453,100,5,-73.9133,40.85248
10454,100,5,-73.91664,40.8056
10455,100,5,-73.90862,40.8148
10456,100,5,-73.90812,40.83064
10457,100,5,-73.89794,40.84571
10458,100,5,-73.88643,40.86249
10459,100,5,-73.89295,40.82572
10460,100,5,-73.87891,40.84273
10461,87,5,-73.84079,40.84671
10462,95,5,-73.85873,40.84297
10463,89,5,-73.89905,40.88841
10464,30,2,-73.80044,40.86821
10465,73,4,-73.82179,40.8286
10466,94,5,-73.8461,40.89104
10467,99,5,-73.872,40.87522
10468,100,5,-73.89985,40.8681
10469,85,5,-73.84666,40.86851
10470,81,5,-73.86805,40.89598
10471,56,3,-73.9067,40.90002
10472,100,5,-73.86942,40.82968
10473,98,5,-73.85889,40.81817
10474,100,5,-73.8846,40.81061
10475,77,4,-73.82702,40.87528
10501,3,1,-73.76006,41.2954
10502,10,1,-73.8409,41.01126
10503,6,1,-73.8753,41.02654
10504,1,1,-73.70629,41.13065
10505,11,1,-73.74791,41.34207
10506,1,1,-73.63411,41.1889
10507,64,4,-73.6878,41.22879
10509,31,2,-73.5937,41.41205
10510,5,1,-73.83411,41.14152
10511,20,2,-73.94391,41.26302
10512,15,1,-73.71054,41.4483
10514,1,1,-73.77071,41.17331
10516,11,1,-73.90233,41.45342
10517,5,1,-73.86013,41.29837
10518,8,1,-73.60073,41.26787
10519,1,1,-73.66196,41.34701
10520,33,2,-73.87348,41.22183
10522,22,2,-73.8646,41.01221
10523,57,3,-73.81859,41.06005
10524,11,1,-73.92201,41.37076
10526,1,1,-73.66171,41.29388
10527,2,1,-73.76502,41.3195
10528,34,2,-73.72306,40.97819
10530,12,1,-73.80764,41.02304
10532,16,1,-73.80066,41.09873
10533,5,1,-73.8556,41.03826
10535,44,3,-73.79965,41.33536
10536,3,1,-73.68943,41.26971
10537,30,2,-73.88528,41.33784
10538,4,1,-73.75707,40.9376
10541,8,1,-73.75122,41.37855
10543,52,3,-73.73645,40.95274
10545,16,1,-73.83547,41.17861
10546,2,1,-73.8002,41.19472
10547,43,3,-73.84637,41.31178
10548,12,1,-73.93643,41.24599
10549,55,3,-73.72028,41.19981
10550,92,5,-73.8351,40.90627
10552,63,4,-73.82497,40.92376
10553,79,4,-73.82161,40.90858
10560,6,1,-73.60264,41.33303
10562,76,4,-73.8305,41.19295
10566,78,4,-73.91837,41.28924
10567,6,1,-73.89633,41.28922
10570,6,1,-73.78917,41.12854
10573,76,4,-73.67735,41.01676
10576,1,1,-73.57289,41.21323
10577,13,1,-73.71349,41.03755
10578,2,1,-73.673,41.31815
10579,12,1,-73.83384,41.39651
10580,11,1,-73.69258,40.97854
